accountId,assetId,quantities,businessTimeFrom,businessTimeTo
custac1,US912796HW25,500000,08:00,20:00
custac1,GBP,50000,08:00,20:00
custac2,GBP,50000,08:00,20:00
custac3,37833100,500000,08:00,20:00
custac4,46625H100,200000,08:00,20:00
custac5,USD,20000000,08:00,20:00
custac5,JPY,5000000,08:00,20:00
custac6,CAD,40000000,08:00,20:00
custac8,US912796HW25,1000000,08:00,20:00
custac9,GBP,500000,08:00,20:00
custac10,37833100,700000,08:00,20:00
custac11,46625H100,200000,08:00,20:00
custac12,Gold,500000,08:00,20:00
