AgreementName,AgreementId,AgreementDate,Type,CCP,Party1,Party2,MTA1,MTA2,InitialBalance1,InitialBalance2,VariationBalance1,VariationBalance2,Rounding1,Rounding2,HolidayZone1,HolidayZone2,NotificationTime
agr1,a1,29/07/15,cleared,LCH Clearnet LTD,e1,,,,,,,,,,,,12:00:00
agr2,a2,29/07/15,bilateralOTC,,e1,e7,2500,2500,1501,1401,-21020000,21020000,500,500,London,Singapore,12:00:00
agr3,a3,29/07/15,regulatoryOTC,,e2,e7,2500,2500,1502,1402,-7530000,7530000,500,500,London,Singapore,12:00:00
agr4,a4,29/07/15,cleared,LCH Clearnet LTD,e2,,,,,,,,,,,,12:00:00
agr5,a5,09/07/15,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr6,a6,29/07/15,bilateralOTC,,e3,e8,2500,2500,1505,1405,-22990000,22990000,500,500,New-York,Paris,12:00:00
agr7,a7,29/07/15,regulatoryOTC,,e3,e9,2500,2500,1506,1406,-2098000,2098000,500,500,New-York,London,12:00:00
agr8,a8,29/07/15,cleared,LCH Clearnet LTD,e4,,,,,,,,,,,,12:00:00
agr9,a9,29/07/15,cleared,LCH Clearnet LTD,e4,,,,,,,,,,,,12:00:00
agr10,a10,09/07/15,bilateralOTC,,e5,e7,2500,2500,1509,1409,-950000,950000,500,500,New-York,Singapore,12:00:00
agr11,a11,29/07/15,regulatoryOTC,,e1,e7,2500,2500,1510,1410,-9000000,9000000,500,500,London,Singapore,12:00:00
agr12,a12,29/07/15,cleared,LCH Clearnet LTD,e1,,,,,,,,,,,,12:00:00
agr13,a13,29/07/15,cleared,LCH Clearnet LTD,e2,,,,,,,,,,,,12:00:00
agr14,a14,29/07/15,bilateralOTC,,e2,e9,2500,2500,1513,1413,-15000001,15000001,500,500,London,London,12:00:00
agr15,a15,09/07/15,regulatoryOTC,,e3,e6,2500,2500,1514,1414,-9000004,9000004,500,500,New-York,Singapore,12:00:00
agr16,a16,03/05/14,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr17,a17,04/05/14,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr18,a18,05/05/14,bilateralOTC,,e4,e7,2500,2500,1517,1417,-30502,30502,500,500,London,Singapore,12:00:00
agr19,a19,06/05/14,regulatoryOTC,,e4,e8,2500,2500,1518,1418,-30503,30503,500,500,London,Paris,12:00:00
agr20,a20,07/05/14,cleared,LCH Clearnet LTD,e5,,,,,,,,,,,,12:00:00
agr21,a21,28/03/13,bilateralOTC,,e1,e9,2500,2500,1520,1420,5000,-5000,500,500,London,London,12:00:00
agr22,a22,29/03/13,regulatoryOTC,,e1,e6,2500,2500,1521,1421,4999,-4999,500,500,London,Singapore,12:00:00
agr23,a23,30/03/13,cleared,LCH Clearnet LTD,e2,,,,,,,,,,,,12:00:00
agr24,a24,31/03/13,cleared,LCH Clearnet LTD,e2,,,,,,,,,,,,12:00:00
agr25,a25,01/04/13,bilateralOTC,,e3,e7,2500,2500,1524,1424,4996,-4996,500,500,New-York,Singapore,12:00:00
agr26,a26,18/05/12,regulatoryOTC,,e3,e8,2500,2500,1525,1425,150000,-150000,500,500,New-York,Paris,12:00:00
agr27,a27,19/05/12,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr28,a28,20/05/12,cleared,LCH Clearnet LTD,e4,,,,,,,,,,,,12:00:00
agr29,a29,21/05/12,bilateralOTC,,e4,e6,2500,2500,1528,1428,230000,-230000,500,500,London,Singapore,12:00:00
agr30,a30,22/05/12,regulatoryOTC,,e5,e7,2500,2500,1529,1429,0,0,500,500,New-York,Singapore,12:00:00
agr31,a31,08/03/14,cleared,LCH Clearnet LTD,e1,,,,,,,,,,,,12:00:00
agr32,a32,09/03/14,cleared,LCH Clearnet LTD,e1,,,,,,,,,,,,12:00:00
agr33,a33,10/03/14,bilateralOTC,,e2,e8,2500,2500,1532,1432,-30502,30502,500,500,London,Paris,12:00:00
agr34,a34,11/03/14,regulatoryOTC,,e2,e8,2500,2500,1533,1433,-30503,30503,500,500,London,Paris,12:00:00
agr35,a35,12/03/14,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr36,a36,08/03/14,cleared,LCH Clearnet LTD,e3,,,,,,,,,,,,12:00:00
agr37,a37,09/03/14,bilateralOTC,,e3,e7,2500,2500,1536,1436,-30501,30501,500,500,New-York,Singapore,12:00:00
agr38,a38,10/03/14,regulatoryOTC,,e4,e7,2500,2500,1537,1437,-30502,30502,500,500,London,Singapore,12:00:00
agr39,a39,11/03/14,cleared,LCH Clearnet LTD,e4,,,,,,,,,,,,12:00:00
agr40,a40,12/03/14,cleared,LCH Clearnet LTD,e5,,,,,,,,,,,,12:00:00
agr41,a41,29/06/13,bilateralOTC,,e1,e8,2500,2500,1540,1440,15000,-15000,500,500,London,Paris,12:00:00
