AgreementName,AgreementId,AgreementDate,Currency,Type,Party1,Party2,MTA1,MTA2,pendingInitialCollateral1,pendingInitialCollateral2,InitialBalance1,InitialBalance2,pendingVariationCollateral1,pendingVariationCollateral2,VariationBalance1,VariationBalance2,Rounding1,Rounding2,HolidayZone1,HolidayZone2,NotificationTime,Tolerance
ACUO SG Pte Ltd v Counterparty A1,a1,29/07/15,USD,bilateral,720400TGFLH2QZV80T,222105IP581HO777LM30,2500,2500,0,0,1501,1401,0,0,-210200,210200,500,500,Singapore,Singapore,12:00:00,0.2
ACUO US LLC v Counterparty A2,a2,29/07/15,USD,regulatory,104399UHGKI1RAW91U,5493OOS20A8EOTNL3L19,2500,2500,0,0,1502,1402,0,0,75300,-75300,500,500,New-York,Singapore,12:00:00,0.2
ACUO UK PLC v Counterparty B1,a3,29/07/15,USD,bilateral,928581SHELI3PYW91M,549300SPVJCY3NPIPQ48,2500,2500,0,0,1505,1405,0,0,-229900,229900,500,500,London,Paris,12:00:00,0.2
ACUO SG Pte Ltd v Counterparty B2,a4,29/07/15,USD,regulatory,720400TGFLH2QZV80T,5493008I8OABDX7R9S42,2500,2500,0,0,1506,1406,0,0,-20980,20980,500,500,Singapore,London,12:00:00,0.2
ACUO US LLC v Counterparty A1,a5,09/07/15,USD,bilateral,104399UHGKI1RAW91U,222105IP581HO777LM30,2500,2500,0,0,1509,1409,0,0,9500,-9500,500,500,New-York,Singapore,12:00:00,0.2
ACUO UK PLC v Counterparty A2,a6,29/07/15,USD,regulatory,928581SHELI3PYW91M,5493OOS20A8EOTNL3L19,2500,2500,0,0,1510,1410,0,0,-90000,90000,500,500,London,Singapore,12:00:00,0.2
ACUO SG Pte Ltd v Counterparty B1,a7,29/07/15,USD,bilateral,720400TGFLH2QZV80T,549300SPVJCY3NPIPQ48,2500,2500,0,0,1513,1413,0,0,-150001,150001,500,500,Singapore,Paris,12:00:00,0.2
ACUO US LLC v Counterparty B2,a8,09/07/15,USD,regulatory,104399UHGKI1RAW91U,5493008I8OABDX7R9S42,2500,2500,0,0,1514,1414,0,0,90004,-90004,500,500,New-York,London,12:00:00,0.2
ACUO UK PLC v Counterparty A1,a9,05/05/14,USD,bilateral,928581SHELI3PYW91M,222105IP581HO777LM30,2500,2500,0,0,1517,1417,0,0,30502,-30502,500,500,London,Singapore,12:00:00,0.2
ACUO SG Pte Ltd v Counterparty A2,a10,06/05/14,USD,regulatory,720400TGFLH2QZV80T,5493OOS20A8EOTNL3L19,2500,2500,0,0,1518,1418,0,0,-30503,30503,500,500,Singapore,Singapore,12:00:00,0.2
ACUO US LLC v Counterparty B1,a11,28/03/13,USD,bilateral,104399UHGKI1RAW91U,549300SPVJCY3NPIPQ48,2500,2500,0,0,1520,1420,0,0,5000,-5000,500,500,New-York,Paris,12:00:00,0.2
ACUO UK PLC v Counterparty B2,a12,29/03/13,USD,regulatory,928581SHELI3PYW91M,5493008I8OABDX7R9S42,2500,2500,0,0,1521,1421,0,0,4999,-4999,500,500,London,London,12:00:00,0.2
