accountId,accountName,accountRegion,CustodianodianId,clientId,tradingAccountId
CustodianodianAccount1,CustodianodianAccount1,region100,Custodian1,c1,acc1|acc2|acc3
CustodianodianAccount2,CustodianodianAccount2,region101,Custodian1,c1,acc1|acc2|acc4
CustodianodianAccount3,CustodianodianAccount3,region102,Custodian1,c1,acc1|acc2|acc5
CustodianodianAccount4,CustodianodianAccount4,region103,Custodian1,c1,acc1|acc2|acc6
CustodianodianAccount5,CustodianodianAccount5,region104,Custodian1,c1,acc1|acc2|acc3|acc4
CustodianodianAccount6,CustodianodianAccount6,region101,Custodian1,c2,acc8|acc9
CustodianodianAccount7,CustodianodianAccount7,region102,Custodian1,c2,acc8|acc9
CustodianodianAccount8,CustodianodianAccount8,region103,Custodian2,c2,acc8|acc9|acc10
CustodianodianAccount9,CustodianodianAccount9,region100,Custodian2,c2,acc8|acc9|acc10
CustodianodianAccount10,CustodianodianAccount10,region100,Custodian2,c2,acc8|acc9|acc10
CustodianodianAccount11,CustodianodianAccount11,region101,Custodian2,c2,acc8|acc9|acc10
