accountId,assetId,quantities,availableQuantities,deployedQuantities,departedQuantities,arrivingQuantities,businessTimeFrom,businessTimeTo
CustodianAccount1A,US912796HW25,10000,10000,0,0,0,08:00,20:00
CustodianAccount1A,US912796JE09,10000,10000,0,0,0,08:01,20:01
CustodianAccount1A,DE0001137461,100000000,100000000,0,0,0,08:02,20:02
CustodianAccount1A,DE0001104636,100000000,100000000,0,0,0,08:03,20:03
CustodianAccount1A,DE0001141737,100000000,100000000,0,0,0,08:04,20:04
CustodianAccount1A,DE0001141604,100000000,100000000,0,0,0,08:05,20:05
CustodianAccount1A,DE0001119584,100000000,100000000,0,0,0,08:06,20:06
CustodianAccount1A,JP1023481F17,20,20,0,0,0,08:07,20:07
CustodianAccount1A,JP1023561F93,20,20,0,0,0,08:08,20:08
CustodianAccount1A,JP1023621G33,20,20,0,0,0,08:09,20:09
CustodianAccount1A,JP1051041C55,20,20,0,0,0,08:10,20:10
CustodianAccount1A,JP1051161DC4,20,20,0,0,0,08:11,20:11
CustodianAccount1A,JP1051271G37,20,20,0,0,0,08:12,20:12
CustodianAccount1A,JP1103121AC2,20,20,0,0,0,08:13,20:13
CustodianAccount1A,IT0005160111,1000,1000,0,0,0,08:14,20:14
CustodianAccount1A,IT0004164775,1000,1000,0,0,0,08:15,20:15
CustodianAccount1A,IT0004957574,1000,1000,0,0,0,08:16,20:16
CustodianAccount1A,IT0003644769,1000,1000,0,0,0,08:17,20:17
CustodianAccount1A,IT0004953417,1000,1000,0,0,0,08:18,20:18
CustodianAccount1A,IT0001444378,1000,1000,0,0,0,08:19,20:19
CustodianAccount1B,SG6TI7000001,1000,1000,0,0,0,08:20,20:20
CustodianAccount1B,SG7U33949433,1000,1000,0,0,0,08:21,20:21
CustodianAccount1B,SG7S29941612,1000,1000,0,0,0,08:22,20:22
CustodianAccount1B,SG7Y76964295,1000,1000,0,0,0,08:23,20:23
CustodianAccount1B,SG3260987684,1000,1000,0,0,0,08:24,20:24
CustodianAccount1B,HK0000277696,2,2,0,0,0,08:25,20:25
CustodianAccount1B,HK0000288131,2,2,0,0,0,08:26,20:26
CustodianAccount1B,HK4159036564,20,20,0,0,0,08:27,20:27
CustodianAccount1B,HK0000132073,20,20,0,0,0,08:28,20:28
CustodianAccount1B,HK0000191137,20,20,0,0,0,08:29,20:29
CustodianAccount1B,AU2CLT260861,200,200,0,0,0,08:30,20:30
CustodianAccount1B,XS1045278410,1000,1000,0,0,0,08:31,20:31
CustodianAccount1B,XS1378790262,1000,1000,0,0,0,08:32,20:32
