ClearingDate,Maturity,NotionalPay,CurrencyPay,TypePay,RateValuePay,IndexPay,IndexTenorPay,ResetFrequencyPay,PaymentFrequencyPay,PayStartPay,PayEndPay,BusinessDayConventionPay,RefCalendarPay,NextCouponPaymentDatePay,IdLegPay,DayCountPay,NotionalReceive,CurrencyReceive,TypeReceive,RateValueReceive,IndexReceive,IndexTenorReceive,ResetFrequencyReceive,PaymentFrequencyReceive,PayStartReceive,PayEndReceive,BusinessDayConventionReceive,RefCalendarReceive,NextCouponPaymentDateReceive,IdLegReceive,DayCountReceive,TradeId,AccountId,AgreementId,PortfolioId
29/07/15,10/07/45,23000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,1T,20/09/13,20/09/23,MODFOLLOWING,NY,20/09/13,irsvt1l1,ACT/365.FIXED,23000000,USD,Fixed,1.61,,,,1T,20/09/13,20/09/23,MODFOLLOWING,NY,20/09/13,irsvt1l2,ACT/365.FIXED,irsvt1,ACUOSG8745,a1,p1
29/07/15,16/12/20,21000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,6M,13/10/15,13/10/25,MODFOLLOWING,NY,13/10/15,irsvt2l1,ACT/365.FIXED,21000000,USD,Fixed,2,,,,6M,13/10/15,13/10/25,MODFOLLOWING,NY,13/10/15,irsvt2l2,ACT/365.FIXED,irsvt2,ACUOUS3014,a2,p2
29/07/15,16/09/18,7500000,USD,Fixed,2.5,,,,6M,21/12/16,21/12/26,MODFOLLOWING,NY,21/12/16,irsvt3l1,ACT/365.FIXED,7500000,USD,Floating,,USD-LIBOR-BBA,3M,3M,6M,21/12/16,21/12/26,MODFOLLOWING,NY,21/12/16,irsvt3l2,ACT/365.FIXED,irsvt3,ACUOUK2046,a3,p3
29/07/15,08/07/45,5000000,USD,Fixed,1.75,,,,6M,16/01/15,16/01/25,MODFOLLOWING,NY,16/01/15,irsvt4l1,ACT/360,5000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,6M,16/01/15,16/01/25,MODFOLLOWING,NY,16/01/15,irsvt4l2,ACT/360,irsvt4,ACUOSG3126,a4,p4
09/07/15,12/12/17,1000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,3M,08/01/16,08/01/26,MODFOLLOWING,NY,08/01/16,irsvt5l1,ACT/360,1000000,USD,Fixed,2,,,,3M,08/01/16,08/01/26,MODFOLLOWING,NY,08/01/16,irsvt5l2,ACT/360,irsvt5,ACUOUS6924,a5,p5
29/07/15,10/07/45,23000000,USD,Floating,,USD-LIBOR-BBA,6M,3M,1T,20/09/13,20/09/23,MODFOLLOWING,NY,20/09/13,irsft1l1,ACT/360,23000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,1T,20/09/13,20/09/23,MODFOLLOWING,NY,20/09/13,irsft1l2,ACT/360,irsft1,ACUOUK2046,a6,p6
29/07/15,16/12/20,21000000,USD,Floating,,USD-LIBOR-BBA,6M,3M,3M,13/10/15,13/10/25,MODFOLLOWING,NY,13/10/15,irsft2l1,30/360,21000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,6M,13/10/15,13/10/25,MODFOLLOWING,NY,13/10/15,irsft2l2,30/360,irsft2,ACUOSG9071,a7,p7
29/07/15,16/09/18,7500000,USD,Floating,,USD-LIBOR-BBA,6M,3M,3M,21/12/16,21/12/26,MODFOLLOWING,NY,21/12/16,irsft3l1,30/360,7500000,USD,Floating,,USD-LIBOR-BBA,3M,3M,6M,21/12/16,21/12/26,MODFOLLOWING,NY,21/12/16,irsft3l2,30/360,irsft3,ACUOUS3014,a8,p8
29/07/15,08/07/45,5000000,USD,Floating,,USD-LIBOR-BBA,6M,3M,3M,16/01/15,16/01/25,MODFOLLOWING,NY,16/01/15,irsft4l1,ACT/ACT.ISDA,5000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,6M,16/01/15,16/01/25,MODFOLLOWING,NY,16/01/15,irsft4l2,ACT/ACT.ISDA,irsft4,ACUOUK2046,a9,p9
09/07/15,12/12/17,1000000,USD,Floating,,USD-LIBOR-BBA,6M,3M,3M,08/01/16,08/01/26,MODFOLLOWING,NY,08/01/16,irsft5l1,ACT/ACT.ISDA,1000000,USD,Floating,,USD-LIBOR-BBA,3M,3M,3M,08/01/16,08/01/26,MODFOLLOWING,NY,08/01/16,irsft5l2,ACT/ACT.ISDA,irsft5,ACUOSG8745,a10,p10
