PrevStatus,NewStatus,Time,CallId,StatementId
Reconciled,Pledge,25/10/16 12:35,mc7,ms7
Reconciled,Pledge,25/10/16 12:35,mc8,ms8
Reconciled,Pledge,25/10/16 12:35,mc9,ms9
Reconciled,Pledge,25/10/16 12:35,mc16,ms7
Reconciled,Pledge,25/10/16 12:35,mc17,ms8
Reconciled,Pledge,25/10/16 12:35,mc18,ms9
Reconciled,Pledge,26/10/16 12:35,mc43,ms34
Reconciled,Pledge,26/10/16 12:35,mc44,ms35
Reconciled,Pledge,26/10/16 12:35,mc45,ms36
Reconciled,Pledge,26/10/16 12:35,mc52,ms34
Reconciled,Pledge,26/10/16 12:35,mc53,ms35
Reconciled,Pledge,26/10/16 12:35,mc54,ms36
