CallId,ValuationDate,CallDate,CallType,Status,Currency,TotalCallAmount,ReturnAmount,DeliverAmount,CollateralValue,PendingCollateral,Exposure,IMRole,Direction,AgreementId,StatementId,EntityId
mce1,24/10/16,25/10/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a1,ms1,720400TGFLH2QZV80T
mce2,24/10/16,25/10/16,Variation,Expected,SGD,1500000,0,1500000,8500000,0,-10000000,Pledgor,IN,a2,ms2,104399UHGKI1RAW91U
mce3,24/10/16,25/10/16,Variation,Expected,EUR,2010000,0,2010000,7990000,10000,-10000000,Pledgor,IN,a3,ms3,928581SHELI3PYW91M
mce4,24/10/16,25/10/16,Variation,Expected,GBP,250,0,250,9999750,0,-10000000,Pledgor,IN,a4,ms4,720400TGFLH2QZV80T
mce5,24/10/16,25/10/16,Variation,Expected,CHF,3000000,0,3000000,7000000,0,-10000000,Pledgor,IN,a5,ms5,104399UHGKI1RAW91U
mce8,24/10/16,25/10/16,Variation,Expected,AUD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a6,ms6,928581SHELI3PYW91M
mce9,09/11/16,10/11/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a7,ms7,720400TGFLH2QZV80T
mce10,09/11/16,10/11/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a8,ms8,104399UHGKI1RAW91U
mce11,09/11/16,10/11/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a9,ms9,928581SHELI3PYW91M
mce12,24/10/16,25/10/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a1,ms1,720400TGFLH2QZV80T
mce13,24/10/16,25/10/16,Initial,Expected,SGD,700000,0,700000,50000000,0,-10000000,Pledgor,IN,a2,ms2,104399UHGKI1RAW91U
mce14,24/10/16,25/10/16,Initial,Expected,EUR,800000,0,800000,50000000,0,-10000000,Pledgor,IN,a3,ms3,928581SHELI3PYW91M
mce15,24/10/16,25/10/16,Initial,Expected,GBP,950000,0,950000,50000000,0,-10000000,Pledgor,IN,a4,ms4,720400TGFLH2QZV80T
mce16,24/10/16,25/10/16,Initial,Expected,CHF,1000000,0,1000000,50000000,0,-10000000,Pledgor,IN,a5,ms5,104399UHGKI1RAW91U
mce17,24/10/16,25/10/16,Initial,Expected,AUD,1150000,0,1150000,50000000,0,-10000000,Pledgor,IN,a6,ms6,928581SHELI3PYW91M
mce18,09/11/16,10/11/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a7,ms7,720400TGFLH2QZV80T
mce19,09/11/16,10/11/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a8,ms8,104399UHGKI1RAW91U
mce20,09/11/16,10/11/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a9,ms9,928581SHELI3PYW91M
mce21,24/11/16,25/11/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a1,ms10,720400TGFLH2QZV80T
mce22,25/11/16,26/11/16,Variation,Expected,SGD,1500000,0,1500000,8500000,0,-10000000,Pledgor,IN,a2,ms11,104399UHGKI1RAW91U
mce23,26/11/16,27/11/16,Variation,Expected,EUR,2010000,0,2010000,7990000,10000,-10000000,Pledgor,IN,a3,ms12,928581SHELI3PYW91M
mce24,27/11/16,28/11/16,Variation,Expected,GBP,250,0,250,9999750,0,-10000000,Pledgor,IN,a4,ms13,720400TGFLH2QZV80T
mce25,28/11/16,29/11/16,Variation,Expected,CHF,3000000,0,3000000,7000000,0,-10000000,Pledgor,IN,a5,ms14,104399UHGKI1RAW91U
mce26,29/11/16,30/11/16,Variation,Expected,AUD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a6,ms15,928581SHELI3PYW91M
mce27,30/11/16,01/12/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a7,ms16,720400TGFLH2QZV80T
mce28,01/12/16,02/12/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a8,ms17,104399UHGKI1RAW91U
mce29,02/12/16,03/12/16,Variation,Expected,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a9,ms18,928581SHELI3PYW91M
mce30,24/11/16,25/11/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a1,ms10,720400TGFLH2QZV80T
mce31,25/11/16,26/11/16,Initial,Expected,SGD,700000,0,700000,50000000,0,-10000000,Pledgor,IN,a2,ms11,104399UHGKI1RAW91U
mce32,26/11/16,27/11/16,Initial,Expected,EUR,800000,0,800000,50000000,0,-10000000,Pledgor,IN,a3,ms12,928581SHELI3PYW91M
mce33,27/11/16,28/11/16,Initial,Expected,GBP,950000,0,950000,50000000,0,-10000000,Pledgor,IN,a4,ms13,720400TGFLH2QZV80T
mce34,28/11/16,29/11/16,Initial,Expected,CHF,1000000,0,1000000,50000000,0,-10000000,Pledgor,IN,a5,ms14,104399UHGKI1RAW91U
mce35,29/11/16,30/11/16,Initial,Expected,AUD,1150000,0,1150000,50000000,0,-10000000,Pledgor,IN,a6,ms15,928581SHELI3PYW91M
mce36,30/11/16,01/12/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a7,ms16,720400TGFLH2QZV80T
mce37,01/12/16,02/12/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a8,ms17,104399UHGKI1RAW91U
mce38,02/12/16,03/12/16,Initial,Expected,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a9,ms18,928581SHELI3PYW91M
