agreementId,legalEntityId,recipientId,recipientAddress,recipientRegion,businessTimeFrom,businessTimeTo
a1,720400TGFLH2QZV80T,recp1,address1,region1,08:00,18:00
a2,720400TGFLH2QZV80T,recp2,address2,region2,08:01,18:01
a3,104399UHGKI1RAW91U,recp3,address3,region3,08:02,18:02
a4,104399UHGKI1RAW91U,recp4,address4,region4,08:03,18:03
a5,928581SHELI3PYW91M,recp5,address5,region5,08:04,18:04
a6,928581SHELI3PYW91M,recp6,address6,region6,08:05,18:05
a7,928581SHELI3PYW91M,recp7,address7,region7,08:06,18:06
a11,720400TGFLH2QZV80T,recp11,address11,region11,08:10,18:10
a12,720400TGFLH2QZV80T,recp12,address12,region12,08:11,18:11
a13,104399UHGKI1RAW91U,recp13,address13,region13,08:12,18:12
a14,104399UHGKI1RAW91U,recp14,address14,region14,08:13,18:13
a15,928581SHELI3PYW91M,recp15,address15,region15,08:14,18:14
a16,928581SHELI3PYW91M,recp16,address16,region16,08:15,18:15
a17,928581SHELI3PYW91M,recp17,address17,region17,08:16,18:16
a21,720400TGFLH2QZV80T,recp21,address21,region21,08:20,18:20
a22,720400TGFLH2QZV80T,recp22,address22,region22,08:21,18:21
a23,104399UHGKI1RAW91U,recp23,address23,region23,08:22,18:22
a24,104399UHGKI1RAW91U,recp24,address24,region24,08:23,18:23
a25,928581SHELI3PYW91M,recp25,address25,region25,08:24,18:24
a26,928581SHELI3PYW91M,recp26,address26,region26,08:25,18:25
a27,928581SHELI3PYW91M,recp27,address27,region27,08:26,18:26
a31,720400TGFLH2QZV80T,recp31,address31,region31,08:30,18:30
a32,720400TGFLH2QZV80T,recp32,address32,region32,08:31,18:31
a33,104399UHGKI1RAW91U,recp33,address33,region33,08:32,18:32
a34,104399UHGKI1RAW91U,recp34,address34,region34,08:33,18:33
a35,928581SHELI3PYW91M,recp35,address35,region35,08:34,18:34
a36,928581SHELI3PYW91M,recp36,address36,region36,08:35,18:35
a37,928581SHELI3PYW91M,recp37,address37,region37,08:36,18:36
a41,720400TGFLH2QZV80T,recp41,address41,region41,08:40,18:40
a42,720400TGFLH2QZV80T,recp42,address42,region42,08:41,18:41
a43,104399UHGKI1RAW91U,recp43,address43,region43,08:42,18:42
a44,104399UHGKI1RAW91U,recp44,address44,region44,08:43,18:43
a45,928581SHELI3PYW91M,recp45,address45,region45,08:44,18:44
a46,928581SHELI3PYW91M,recp46,address46,region46,08:45,18:45
a47,928581SHELI3PYW91M,recp47,address47,region47,08:46,18:46
a51,720400TGFLH2QZV80T,recp51,address51,region51,08:50,18:50
a52,720400TGFLH2QZV80T,recp52,address52,region52,08:51,18:51
a53,104399UHGKI1RAW91U,recp53,address53,region53,08:52,18:52
a54,104399UHGKI1RAW91U,recp54,address54,region54,08:53,18:53
a55,928581SHELI3PYW91M,recp55,address55,region55,08:54,18:54
