Date,Value,,TradeId,Source
28/11/16,23000000,23010000,irsvt1,
,21000000,21020000,irsvt2,
,7500000,7530000,irsvt3,
,5000000,5040000,irsvt4,
,1000000,1050000,irsvt5,
,23000000,22990000,irsft1,
,21000000,2098000,irsft2,
,7500000,7470000,irsft3,
,5000000,4960000,irsft4,
,1000000,950000,irsft5,
,10000000,9000000,cdst1,
,10000000,15000000,cdst2,
,10000000,9000002,cdst3,
,10000000,15000001,cdst4,
,10000000,9000004,cdst5,
,25000,30500,ndft1,
,30000,30501,ndft2,
,35000,30502,ndft3,
,40000,30503,ndft4,
,45000,30504,ndft5,
,-10000,-5000,fxsi1,
,-9999,-4999,fxsi2,
,-9998,-4998,fxsi3,
,-9997,-4997,fxsi4,
,-9996,-4996,fxsi5,
,-200000,-150000,fxsw1,
,-199999,-250000,fxsw2,
,-199998,-170000,fxsw3,
,-199997,-230000,fxsw4,
,-199996,0,fxsw5,
,25000,30500,optv1,
,30000,30501,optv2,
,35000,30502,optv3,
,40000,30503,optv4,
,45000,30504,optv5,
,25000,30500,optb1,
,30000,30501,optb2,
,35000,30502,optb3,
,40000,30503,optb4,
,45000,30504,optb5,
,15000,-15000,fra1,
,15001,-14999,fra2,
,15002,-14998,fra3,
,15003,-14997,fra4,
,15004,-14996,fra5,
