Date,creationTime,PV,Currency,TradeId,Source,,,,,,,,,,
27/11/16,12:00:00,23000000,USD,irsvt1,Client,33050001,,28/11/16,12:00:00,24054400,USD,irsvt1,Client,33049900,-101
27/11/16,12:00:00,21000000,USD,irsvt2,Client,31055004,,28/11/16,12:00:00,21020000,USD,irsvt2,Client,36010503,4955499
27/11/16,12:00:00,7500000,USD,irsvt3,Client,17560007,,28/11/16,12:00:00,7530000,USD,irsvt3,Client,16590508,-969499
27/11/16,12:00:00,5000000,USD,irsvt4,Client,15065010,,28/11/16,12:00:00,5040000,USD,irsvt4,Client,20125510,5060500
27/11/16,12:00:00,1000000,USD,irsvt5,Client,11070013,,28/11/16,12:00:00,1050000,USD,irsvt5,Client,10055516,-1014497
27/11/16,12:00:00,23000000,USD,irsft1,Client,47134410,,28/11/16,12:00:00,22990000,USD,irsft1,Client,22901000,-24233410
27/11/16,12:00:00,21000000,USD,irsft2,Client,42090021,,28/11/16,12:00:00,20980000,USD,irsft2,Client,20791002,-21299019
27/11/16,12:00:00,7500000,USD,irsft3,Client,14974902,,28/11/16,12:00:00,7470000,USD,irsft3,Client,7361004,-7613898
27/11/16,12:00:00,5000000,USD,irsft4,Client,9970103,,28/11/16,12:00:00,4960000,USD,irsft4,Client,4791006,-5179097
27/11/16,12:00:00,1000000,USD,irsft5,Client,1949904,,28/11/16,12:00:00,950000,USD,irsft5,Client,1011008,-938896
27/11/16,12:00:00,10000000,USD,cdst1,Client,,,28/11/16,12:00:00,9000000,USD,cdst1,Client,,
27/11/16,12:00:00,10000000,USD,cdst2,Client,,,28/11/16,12:00:00,15000000,USD,cdst2,Client,,
27/11/16,12:00:00,10000000,USD,cdst3,Client,,,28/11/16,12:00:00,9000002,USD,cdst3,Client,,
27/11/16,12:00:00,10000000,USD,cdst4,Client,,,28/11/16,12:00:00,15000001,USD,cdst4,Client,,
27/11/16,12:00:00,10000000,USD,cdst5,Client,,,28/11/16,12:00:00,9000004,USD,cdst5,Client,,
27/11/16,12:00:00,25000,USD,ndft1,Client,,,28/11/16,12:00:00,30500,USD,ndft1,Client,,
27/11/16,12:00:00,30000,USD,ndft2,Client,,,28/11/16,12:00:00,30501,USD,ndft2,Client,,
27/11/16,12:00:00,35000,USD,ndft3,Client,,,28/11/16,12:00:00,30502,USD,ndft3,Client,,
27/11/16,12:00:00,40000,USD,ndft4,Client,,,28/11/16,12:00:00,30503,USD,ndft4,Client,,
27/11/16,12:00:00,45000,USD,ndft5,Client,,,28/11/16,12:00:00,30504,USD,ndft5,Client,,
27/11/16,12:00:00,-10000,USD,fxsi1,Client,,,28/11/16,12:00:00,-5000,USD,fxsi1,Client,,
27/11/16,12:00:00,-9999,USD,fxsi2,Client,,,28/11/16,12:00:00,-4999,USD,fxsi2,Client,,
27/11/16,12:00:00,-9998,USD,fxsi3,Client,,,28/11/16,12:00:00,-4998,USD,fxsi3,Client,,
27/11/16,12:00:00,-9997,USD,fxsi4,Client,,,28/11/16,12:00:00,-4997,USD,fxsi4,Client,,
27/11/16,12:00:00,-9996,USD,fxsi5,Client,,,28/11/16,12:00:00,-4996,USD,fxsi5,Client,,
27/11/16,12:00:00,-200000,USD,fxsw1,Client,,,28/11/16,12:00:00,-150000,USD,fxsw1,Client,,
27/11/16,12:00:00,-199999,USD,fxsw2,Client,,,28/11/16,12:00:00,-250000,USD,fxsw2,Client,,
27/11/16,12:00:00,-199998,USD,fxsw3,Client,,,28/11/16,12:00:00,-170000,USD,fxsw3,Client,,
27/11/16,12:00:00,-199997,USD,fxsw4,Client,,,28/11/16,12:00:00,-230000,USD,fxsw4,Client,,
27/11/16,12:00:00,-199996,USD,fxsw5,Client,,,28/11/16,12:00:00,0,USD,fxsw5,Client,,
27/11/16,12:00:00,25000,USD,optv1,Client,,,28/11/16,12:00:00,30500,USD,optv1,Client,,
27/11/16,12:00:00,30000,USD,optv2,Client,,,28/11/16,12:00:00,30501,USD,optv2,Client,,
27/11/16,12:00:00,35000,USD,optv3,Client,,,28/11/16,12:00:00,30502,USD,optv3,Client,,
27/11/16,12:00:00,40000,USD,optv4,Client,,,28/11/16,12:00:00,30503,USD,optv4,Client,,
27/11/16,12:00:00,45000,USD,optv5,Client,,,28/11/16,12:00:00,30504,USD,optv5,Client,,
27/11/16,12:00:00,25000,USD,optb1,Client,,,28/11/16,12:00:00,30500,USD,optb1,Client,,
27/11/16,12:00:00,30000,USD,optb2,Client,,,28/11/16,12:00:00,30501,USD,optb2,Client,,
27/11/16,12:00:00,35000,USD,optb3,Client,,,28/11/16,12:00:00,30502,USD,optb3,Client,,
27/11/16,12:00:00,40000,USD,optb4,Client,,,28/11/16,12:00:00,30503,USD,optb4,Client,,
27/11/16,12:00:00,45000,USD,optb5,Client,,,28/11/16,12:00:00,30504,USD,optb5,Client,,
27/11/16,12:00:00,15000,USD,fra1,Client,,,28/11/16,12:00:00,-15000,USD,fra1,Client,,
27/11/16,12:00:00,15001,USD,fra2,Client,,,28/11/16,12:00:00,-14999,USD,fra2,Client,,
27/11/16,12:00:00,15002,USD,fra3,Client,,,28/11/16,12:00:00,-14998,USD,fra3,Client,,
27/11/16,12:00:00,15003,USD,fra4,Client,,,28/11/16,12:00:00,-14997,USD,fra4,Client,,
27/11/16,12:00:00,15004,USD,fra5,Client,,,28/11/16,12:00:00,-14996,USD,fra5,Client,,
27/11/16,12:00:00,230010,USD,zcs1,Client,,,28/11/16,12:00:00,0,USD,zcs1,Client,,
27/11/16,12:00:00,210020,USD,zcs2,Client,,,28/11/16,12:00:00,0,USD,zcs2,Client,,
27/11/16,12:00:00,74900,USD,zcs3,Client,,,28/11/16,12:00:00,0,USD,zcs3,Client,,
27/11/16,12:00:00,50100,USD,zcs4,Client,,,28/11/16,12:00:00,0,USD,zcs4,Client,,
27/11/16,12:00:00,9900,USD,zcs5,Client,,,28/11/16,12:00:00,0,USD,zcs5,Client,,
27/11/16,12:00:00,20001,USD,swopt1,Client,,,28/11/16,12:00:00,-15000,USD,swopt1,Client,,
27/11/16,12:00:00,20002,USD,swopt2,Client,,,28/11/16,12:00:00,-20000,USD,swopt2,Client,,
27/11/16,12:00:00,20003,USD,swopt3,Client,,,28/11/16,12:00:00,50000,USD,swopt3,Client,,
27/11/16,12:00:00,20004,USD,swopt4,Client,,,28/11/16,12:00:00,75000,USD,swopt4,Client,,
