AgreementId,Asset_Currency,Request_Currency,Haircut
a1,AUD,Other,5%
a1,CAD ,Other,5%
a1,CHF,Other,5%
a1,DKK,Other,5%
a1,EUR ,Other,5%
a1,GBP,Other,5%
a1,HKD,Other,5%
a1,JPY ,Other,5%
a1,NOK,Other,5%
a1,NZD ,Other,5%
a1,SEK ,Other,5%
a1,SGD,Other,5%
a1,CNH,Other,10%
a1,CZK,Other,10%
a1,HUF,Other,10%
a1,MXN,Other,10%
a1,PLN,Other,10%
a1,ZAR,Other,15%
a1,TRY,Other,20%
a1,USD,AUD,5%
a1,USD,CAD ,5%
a1,USD,CHF,5%
a1,USD,DKK,5%
a1,USD,EUR ,5%
a1,USD,GBP,5%
a1,USD,HKD,5%
a1,USD,JPY ,5%
a1,USD,NOK,5%
a1,USD,NZD ,5%
a1,USD,SEK ,5%
a1,USD,SGD,5%
a1,USD,CNH,10%
a1,USD,CZK,10%
a1,USD,HUF,10%
a1,USD,MXN,10%
a1,USD,PLN,10%
a1,USD,ZAR,15%
a1,USD,TRY,20%
