CO,Accept_Currency,Product_Type,Eligible_To_Fulfill
CME,AUD,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,CAD ,irs|cds|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,CHF,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,DKK,irs,DKK
CME,EUR ,irs|cds|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,GBP,irs|cds|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,HKD,irs,HKD
CME,JPY ,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,NOK,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,NZD ,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,SEK ,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,SGD,irs,SGD
CME,CNH,irs|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
CME,CZK,irs,CZK
CME,HUF,irs,HUF
CME,MXN,irs|base,MXN
CME,PLN,irs,PLN
CME,ZAR,irs|base,ZAR
CME,TRY,base,TRY
CME,USD,irs|cds|base,USD|AUD|CAD|CHF|DKK|EUR|GBP|HKD|JPY|NOK|NZD|SEK|SGD|CNH|CZK|HUF|MXN|PLN|ZAR|TRY
