ICADCode,type,currency,externalCost,interestRate,ticker,fitchRatings,maturityLb,maturityUp,haircut,FXHaircut,agreementId,marginType
SG-CASH,CASH,SGD,0.0001,0.002,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
JP-CASH,CASH,JPY,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
US-CASH,CASH,USD,0.0001,0.004,,,,,0,0,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
GB-CASH,CASH,GBP,0.0001,0.002,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
EU-CASH,CASH,EUR,0.0001,-0.004,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
AU-CASH,CASH,AUD,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
HK-CASH,CASH,HKD,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
CA-CASH,CASH,CAD,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
NO-CASH,CASH,NOK,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
SE-CASH,CASH,SEK,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
KR-CASH,CASH,KRW,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
NZ-CASH,CASH,NZD,0.0001,0,,,,,0,0.05,a1|a2|a3|a4|a5|a6|a7|a8|a9|a10|a11|a12|a13|a14|a15|a16|a17|a18|a19|a20|a21|a22|a23|a24|a25|a26|a27|a28|a29|a30|a44,Variation|Initial
,,,,,,,,,,,,
SG-CASH,CASH,SGD,0.0001,0,,,,,0,0,a39|a41|a42,Variation|Initial
SG-CASH,CASH,SGD,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a40|a43,Variation|Initial
JP-CASH,CASH,JPY,0.0001,0,,,,,0,0,a35|a36|a40,Variation|Initial
JP-CASH,CASH,JPY,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a37|a38|a39|a41|a42|a43,Variation|Initial
US-CASH,CASH,USD,0.0001,0,,,,,0,0,a34|a37|a38|a43,Variation|Initial
US-CASH,CASH,USD,0.0001,0,,,,,0,0.05,a31|a32|a33|a35|a36|a39|a40|a41|a42,Variation|Initial
GB-CASH,CASH,GBP,0.0001,0,,,,,0,0,a31|a32|a33,Variation|Initial
GB-CASH,CASH,GBP,0.0001,0,,,,,0,0.05,a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
EU-CASH,CASH,EUR,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
AU-CASH,CASH,AUD,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
HK-CASH,CASH,HKD,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
CA-CASH,CASH,CAD,0.0001,0,,,,,0,0.05,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
NO-CASH,CASH,NOK,0.0001,0,,,,,0,0.075,a31|a32|a33|a34|a35|a36|a37|a38|a39|a40|a41|a42|a43,Variation|Initial
