AgreementName,AmpId,InitialBalanceCashToVariation,NetGross,AgreementId,AgreementDate,CurrencyType,Currency,Type,LegalEntityId,ClearingHouseId,FCMId,Tolerance,FCMCustodianId,NotificationTime,BrokerMultiplier
ACUO SG v Goldman Sachs Co.,m100020170329rek5k,1,Net,a31,2011/07/29,SingleCurrency,GBP,cleared,720400TGFLH2QZV80T,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
ACUO US v Goldman Sachs Co.,m100020170329rek5k,0,Net,a32,2011/07/29,SingleCurrency,GBP,cleared,104399UHGKI1RAW91U,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
ACUO UK v Goldman Sachs Co.,m100020170329rek5k,1,Net,a33,2011/07/29,SingleCurrency,GBP,cleared,928581SHELI3PYW91M,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
ACUO US v J.P. Morgan Securities LLC,m100020170329rek5k,0,Net,a34,2011/07/29,MultiCurrency,USD,cleared,104399UHGKI1RAW91U,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5B,12:00:00.000,1.75
ACUO US v Morgan Stanley MUFG Securities Co. Ltd.,m100020170329rek5k,1,Net,a35,2011/07/29,SingleCurrency,JPY,cleared,104399UHGKI1RAW91U,5493002KRYOWNYDHUF14,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5C,12:00:00.000,1.75
ACUO UK v Morgan Stanley MUFG Securities Co. Ltd.,m100020170329rek5k,0,Net,a36,2011/07/29,SingleCurrency,JPY,cleared,928581SHELI3PYW91M,5493002KRYOWNYDHUF14,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5C,12:00:00.000,1.75
ACUO SG v J.P. Morgan Securities LLC,m100020170329rek5k,1,Net,a37,2011/07/29,SingleCurrency,USD,cleared,720400TGFLH2QZV80T,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5B,12:00:00.000,1.75
ACUO UK v J.P. Morgan Securities LLC,m100020170329rek5k,0,Net,a38,2011/07/29,SingleCurrency,USD,cleared,928581SHELI3PYW91M,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5B,12:00:00.000,1.75
ACUO SG v DBS BANK LTD,m100020170329rek5k,1,Net,a39,2011/07/29,SingleCurrency,SGD,cleared,720400TGFLH2QZV80T,549300ZLWT3FK3F0FW61,549300B026HZPK85C744,0.05,CustodianAccount5D,12:00:00.000,1.75
ACUO SG v Morgan Stanley MUFG Securities Co. Ltd.,m100020170329rek5k,0,Net,a40,2011/07/29,SingleCurrency,JPY,cleared,720400TGFLH2QZV80T,5493002KRYOWNYDHUF14,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5C,12:00:00.000,1.75
ACUO UK v DBS BANK LTD,m100020170329rek5k,1,Net,a41,2011/07/29,SingleCurrency,SGD,cleared,928581SHELI3PYW91M,549300ZLWT3FK3F0FW61,549300B026HZPK85C744,0.05,CustodianAccount5D,12:00:00.000,1.75
ACUO US v DBS BANK LTD,m100020170329rek5k,0,Net,a42,2011/07/29,SingleCurrency,SGD,cleared,104399UHGKI1RAW91U,549300ZLWT3FK3F0FW61,549300B026HZPK85C744,0.05,CustodianAccount5D,12:00:00.000,1.75
ACUO AUS v Goldman Sach Co.,m100020170329rek5k,1,Net,a43,2011/07/29,SingleCurrency,USD,cleared,928581KELLA3PYW91M,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
