ICADCode,type,currency,externalCost,interestRate,ticker,ratingLb,ratingUp,maturityLb,maturityUp,haircut,FXHaircut,agreementId,marginType
SG-CASH,CASH,SGD,0.0001,0.002,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
JP-CASH,CASH,JPY,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
US-CASH,CASH,USD,0.0001,0.004,,,,,,0,0,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
GB-CASH,CASH,GBP,0.0001,0.002,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
EU-CASH,CASH,EUR,0.0001,-0.004,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
AU-CASH,CASH,AUD,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
HK-CASH,CASH,HKD,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
CA-CASH,CASH,CAD,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
NO-CASH,CASH,NOK,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
SE-CASH,CASH,SEK,0.0001,0,,,,,,0,0.05,ap1|ap2|ap3|ap4|ap5|ap6|ap7|ap8|ap9|ap10|ap11|ap12|ap13|ap14|ap15|ap16|ap17|ap18|ap19|ap20|ap21|ap22|ap23|ap24|ap25|ap26|ap27|ap28|ap29|ap30|ap44,Variation|Initial
