AgreementName,AmpId,AgreementId,MasterAgreementId,AgreementDate,Currency,Type,Threshold,Party1,Party2,MTA1,MTA2,Rounding1,Rounding2,HolidayZone1,HolidayZone2,NotificationTime,Tolerance,CounterpartCustodianId,BaseCurrency,Law,FXHaircut,interestTransfer,interestPaymentNetting,interestAdjustment,negativeInterest,dailyInterestCompounding,regime,marginCallEnabled,allowMultipleCallsPerDay,variationCallsEnabled,separateVariationCallsByCurrency,initialCallsEnabled,separateInitialCallsByCurrency,substitutionEnabled,timeZone,valuationAgentAmpId,soleCalculation,agreementEmailList
Palo SG Pte Ltd v Counterparty AP1,,ap1,mp1,2015/29/07,USD,legacy,0,67S3W5G97PLR6CFI0C21,E865GVYCK5DT84PUCF94,500000,500000,500,500,Singapore,Singapore,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty AP2,,ap2,mp2,2015/29/07,SGD,regulatory,0,X16SJBPCWP68U2WPJL6N,681C7POTKXR2F8G2H3E8,500000,500000,500,500,New-York,Singapore,00:00.0,0.1,CustodianAccount3CP,USD,English Law,0.08,A,NA,NA,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty AP3,,ap3,mp3,2015/29/07,NOK,legacy,0,BTP4W46BJCSBK5JHPZ9H,WBQDLCV8W1OCZO4V5Q0V,500000,500000,500,500,London,New-York,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty AP4,,ap4,mp4,2015/29/07,SEK,regulatory,0,67S3W5G97PLR6CFI0C21,NL5DPC7A5XNNI628U6DG,500000,500000,500,500,Singapore,London,00:00.0,0.1,CustodianAccount3AP,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty AP5,,ap5,mp5,2015/09/07,EUR,legacy,0,X16SJBPCWP68U2WPJL6N,1ITLJ0FMV8XALGVAVLD5,500000,500000,500,500,New-York,Singapore,00:00.0,0.1,CustodianAccount3BP,USD,English Law,0.08,A,A,A,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty BP1,,ap6,mp6,2015/29/07,GBP,regulatory,0,BTP4W46BJCSBK5JHPZ9H,CH7JW47SD059FDCYSLW8,500000,500000,500,500,London,Singapore,00:00.0,0.1,CustodianAccount4AP,USD,English Law,0.08,A,NA,NA,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty BP2,,ap7,mp7,2015/29/07,KRW,legacy,0,67S3W5G97PLR6CFI0C21,6FFIV0FKRMDE8R07TYOP,500000,500000,500,500,Singapore,New-York,00:00.0,0.1,CustodianAccount4BP,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo US LLC v Counterparty BP3,,ap8,mp8,2015/09/07,JPY,regulatory,0,X16SJBPCWP68U2WPJL6N,Z44Y5TSH72O5OUPNSDKS,500000,500000,500,500,New-York,London,00:00.0,0.1,CustodianAccount4CP,USD,English Law,0.08,A,NA,NA,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo HK PLC v Counterparty BP4,,ap9,mp9,2014/05/05,AUD,legacy,0,BTP4W46BJCSBK5JHPZ9H,R2ZJ56N6X7RSRWT6AZX2,500000,500000,500,500,London,Singapore,00:00.0,0.1,CustodianAccount4CP,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Palo SG Pte Ltd v Counterparty BP5,,ap10,mp10,2014/06/05,CAD,regulatory,0,67S3W5G97PLR6CFI0C21,LJ7OIIYEMFNMZ5P3PMRN,500000,500000,500,500,Singapore,Singapore,00:00.0,0.1,CustodianAccount4BP,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
