AgreementName,AmpId,InitialBalanceCashToVariation,NetGross,AgreementId,AgreementDate,CurrencyType,Currency,Type,LegalEntityId,ClearingHouseId,FCMId,Tolerance,FCMCustodianId,NotificationTime,BrokerMultiplier
Palo SG Pte Ltd v Goldman Sachs Co.,,1,Net,ap31,2011/07/29,SingleCurrency,GBP,cleared,67S3W5G97PLR6CFI0C21,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5AP,00:00.0,1.75
Palo US LLC v Goldman Sachs Co.,,0,Net,ap32,2011/07/29,SingleCurrency,GBP,cleared,X16SJBPCWP68U2WPJL6N,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5AP,00:00.0,1.75
Palo HK PLC v Goldman Sachs Co.,,1,Net,ap33,2011/07/29,SingleCurrency,GBP,cleared,BTP4W46BJCSBK5JHPZ9H,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5AP,00:00.0,1.75
Palo US LLC v J.P. Morgan Securities LLC,,0,Net,ap34,2011/07/29,MultiCurrency,USD,cleared,X16SJBPCWP68U2WPJL6N,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5BP,00:00.0,1.75
Palo US LLC v Morgan Stanley MUFG Securities Co. Ltd.,,1,Net,ap35,2011/07/29,SingleCurrency,JPY,cleared,X16SJBPCWP68U2WPJL6N,5493002KRYOWNYDHUF14,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5CP,00:00.0,1.75
Palo HK PLC v Morgan Stanley MUFG Securities Co. Ltd.,,0,Net,ap36,2011/07/29,SingleCurrency,JPY,cleared,BTP4W46BJCSBK5JHPZ9H,5493002KRYOWNYDHUF14,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5CP,00:00.0,1.75
Palo SG Pte Ltd v J.P. Morgan Securities LLC,,1,Net,ap37,2011/07/29,SingleCurrency,USD,cleared,67S3W5G97PLR6CFI0C21,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5BP,00:00.0,1.75
Palo HK PLC v J.P. Morgan Securities LLC,,0,Net,ap38,2011/07/29,SingleCurrency,USD,cleared,BTP4W46BJCSBK5JHPZ9H,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5BP,00:00.0,1.75
Palo SG Pte Ltd v DBS BANK LTD,,1,Net,ap39,2011/07/29,SingleCurrency,SGD,cleared,67S3W5G97PLR6CFI0C21,213800CKBBZUAHHARH83,549300B026HZPK85C744,0.05,CustodianAccount5DP,00:00.0,1.75
Palo SG Pte Ltd v Morgan Stanley MUFG Securities Co. Ltd.,,0,Net,ap40,2011/07/29,SingleCurrency,JPY,cleared,67S3W5G97PLR6CFI0C21,5493002KRYOWNYDHUF14,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5CP,00:00.0,1.75
Palo HK PLC v DBS BANK LTD,,1,Net,ap41,2011/07/29,SingleCurrency,SGD,cleared,BTP4W46BJCSBK5JHPZ9H,213800CKBBZUAHHARH83,549300B026HZPK85C744,0.05,CustodianAccount5DP,00:00.0,1.75
Palo US LLC v DBS BANK LTD,,0,Net,ap42,2011/07/29,SingleCurrency,SGD,cleared,X16SJBPCWP68U2WPJL6N,213800CKBBZUAHHARH83,549300B026HZPK85C744,0.05,CustodianAccount5DP,00:00.0,1.75
Palo AUS v Goldman Sach Co.,,1,Net,ap43,2011/07/29,SingleCurrency,USD,cleared,Y1F6SNPABNIC9HJ16RKM,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5AP,00:00.0,1.75
