EntityName,EntityShortName,EntityId,ClientId,HolidayZone,Jurisdiction,type,type1,establishedIn,aboveNotionalThreshold
Palo SG Pte Ltd,Palo SG,67S3W5G97PLR6CFI0C21,888,SIN_FI,SG_MAS,NFC+,SE,TCE,yes
Palo US LLC,Palo US,X16SJBPCWP68U2WPJL6N,888,USN_FI,US_CFTC,NFC+,FEU,TCE,yes
Palo HK PLC,Palo HK,BTP4W46BJCSBK5JHPZ9H,888,HKG_FI,HK_HKMA,NFC+,SE,TCE,yes
Palo AUS,Palo AUS,Y1F6SNPABNIC9HJ16RKM,888,FRA_FI,EU,NFC+,SE,TCE,no
Counterpart AP1,Counterpart AP1,E865GVYCK5DT84PUCF94,111,SIN_FI,SG_MAS,FC,SE,EU,yes
Counterpart AP2,Counterpart AP2,681C7POTKXR2F8G2H3E8,111,SIN_FI,SG_MAS,NFC+,SE,EU,yes
Counterpart AP3,Counterpart AP3,WBQDLCV8W1OCZO4V5Q0V,111,SIN_FI,SG_MAS,FC,FEU,EU,no
Counterpart AP4,Counterpart AP4,NL5DPC7A5XNNI628U6DG,111,SIN_FI,SG_MAS,FC,FEU,EU,yes
Counterpart AP5,Counterpart AP5,1ITLJ0FMV8XALGVAVLD5,111,SIN_FI,SG_MAS,FC,SE,EU,no
Counterpart BP1,Counterpart BP1,CH7JW47SD059FDCYSLW8,222,FRA_FI,EU,NFC+,SE,TCE,yes
Counterpart BP2,Counterpart BP2,6FFIV0FKRMDE8R07TYOP,222,UKG_FI,EU,NFC+,SE,EU,yes
Counterpart BP3,Counterpart BP3,Z44Y5TSH72O5OUPNSDKS,222,USN_FI,US_PR,FC,SE,EU,no
Counterpart BP4,Counterpart BP4,R2ZJ56N6X7RSRWT6AZX2,222,UKG_FI,EU,FC,SE,EU,yes
Counterpart BP5,Counterpart BP5,LJ7OIIYEMFNMZ5P3PMRN,222,SIN_FI,SG_MAS,FC,SE,EU,yes
