AgreementName,AmpId,AgreementId,MasterAgreementId,AgreementDate,Currency,Type,Threshold,Party1,Party2,MTA1,MTA2,Rounding1,Rounding2,HolidayZone1,HolidayZone2,NotificationTime,Tolerance,CounterpartCustodianId,BaseCurrency,Law,FXHaircut,interestTransfer,interestPaymentNetting,interestAdjustment,negativeInterest,dailyInterestCompounding,regime,marginCallEnabled,allowMultipleCallsPerDay,variationCallsEnabled,separateVariationCallsByCurrency,initialCallsEnabled,separateInitialCallsByCurrency,substitutionEnabled,timeZone,valuationAgentAmpId,soleCalculation,agreementEmailList
Thomson Reuters Transaction Services Pte. Ltd v Counterparty AR1,,ar1,mr1,2015/07/29,USD,legacy,0,5493004U2OZSNOP2ML97,W7K13LBE6OLJ663LISWQ,500000,500000,500,500,Singapore,Singapore,10:00:00.000,0.1,CustodianAccount3AR,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Thomson Reuters (Markets) Group v Counterparty AR2,,ar2,mr2,2015/07/29,SGD,regulatory,0,549300WQWDPFSMQ8I087,FLWQQ213I639BH37WD1N,500000,500000,500,500,New-York,Singapore,10:00:00.000,0.1,CustodianAccount3CR,USD,English Law,0.08,A,NA,NA,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Reuters Transaction Services Limited v Counterparty AR3,,ar3,mr3,2015/07/29,NOK,legacy,0,549300SDDJE84DDJNB30,6BP9B5XIIOCTY6H0MFMJ,500000,500000,500,500,London,New-York,16:00:00.000,0.1,CustodianAccount3AR,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Thomson Reuters Transaction Services Pte. Ltd v Counterparty AR4,,ar4,mr4,2015/07/29,SEK,regulatory,0,5493004U2OZSNOP2ML97,XQMDGAGQXJ5OHQ8I994V,500000,500000,500,500,Singapore,London,12:00:00.000,0.1,CustodianAccount3AR,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Thomson Reuters (Markets) Group v Counterparty AR5,,ar5,mr5,2015/07/09,EUR,legacy,0,549300WQWDPFSMQ8I087,0SOJM5F1XDPSIZO9TX9J,500000,500000,500,500,New-York,Singapore,10:00:00.000,0.1,CustodianAccount3BR,USD,English Law,0.08,A,A,A,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Reuters Transaction Services Limited v Counterparty BR1,,ar6,mr6,2015/07/29,GBP,regulatory,0,549300SDDJE84DDJNB30,2TEBDUI1CT9Y2WLC8GR7,500000,500000,500,500,London,Singapore,10:00:00.000,0.1,CustodianAccount4AR,USD,English Law,0.08,A,NA,NA,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Thomson Reuters Transaction Services Pte. Ltd v Counterparty BR2,,ar7,mr7,2015/07/29,KRW,legacy,0,5493004U2OZSNOP2ML97,R1SVUR5HEZ0O093VM2KL,500000,500000,500,500,Singapore,New-York,16:00:00.000,0.1,CustodianAccount4BR,USD,English Law,0.08,A,A,A,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Thomson Reuters (Markets) Group v Counterparty BR3,,ar8,mr8,2015/07/09,JPY,regulatory,0,549300WQWDPFSMQ8I087,PFYUZLB1WMXL7LJ0V1IY,500000,500000,500,500,New-York,London,12:00:00.000,0.1,CustodianAccount4CR,USD,English Law,0.08,A,NA,NA,A,NA,U.S.,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Reuters Transaction Services Limited v Counterparty BR4,,ar9,mr9,2014/05/05,AUD,legacy,0,549300SDDJE84DDJNB30,LKY5XBK1ZJILZ74JW70H,500000,500000,500,500,London,Singapore,10:00:00.000,0.1,CustodianAccount4CR,USD,English Law,0.08,A,A,A,A,NA,Europe,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
Thomson Reuters Transaction Services Pte. Ltd v Counterparty BR5,,ar10,mr10,2014/05/06,CAD,regulatory,0,5493004U2OZSNOP2ML97,CQB2PRVDFRFTC2ZDLJTX,500000,500000,500,500,Singapore,Singapore,10:00:00.000,0.1,CustodianAccount4BR,USD,English Law,0.08,A,NA,NA,A,NA,Singapore,1,0,1,0,1,0,1,GMT,,1,silin@acuo.com|stafani@acuo.com
