AgreementName,AmpId,InitialBalanceCashToVariation,NetGross,AgreementId,AgreementDate,CurrencyType,Currency,Type,LegalEntityId,ClearingHouseId,FCMId,Tolerance,FCMCustodianId,NotificationTime,BrokerMultiplier
Thomson Reuters Transaction Services Pte. Ltd v Goldman Sachs Co.,,1,Net,ar31,2011/07/29,SingleCurrency,GBP,cleared,5493004U2OZSNOP2ML97,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
Thomson Reuters (Markets) Group v Goldman Sachs Co.,,0,Net,ar32,2011/07/29,SingleCurrency,GBP,cleared,549300WQWDPFSMQ8I087,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
Reuters Transaction Services Limited v Goldman Sachs Co.,,1,Net,ar33,2011/07/29,SingleCurrency,GBP,cleared,549300SDDJE84DDJNB30,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
Thomson Reuters (Markets) Group v J.P. Morgan Securities LLC,,0,Net,ar34,2011/07/29,MultiCurrency,USD,cleared,549300WQWDPFSMQ8I087,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5B,12:00:00.000,1.75
Thomson Reuters (Markets) Group v Morgan Stanley MUFG Securities Co. Ltd.,,1,Net,ar35,2011/07/29,SingleCurrency,JPY,cleared,549300WQWDPFSMQ8I087,529900LN3S50JPU47S06,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5C,12:00:00.000,1.75
Reuters Transaction Services Limited v Morgan Stanley MUFG Securities Co. Ltd.,,0,Net,ar36,2011/07/29,SingleCurrency,JPY,cleared,549300SDDJE84DDJNB30,529900LN3S50JPU47S06,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5C,12:00:00.000,1.75
Thomson Reuters Transaction Services Pte. Ltd v J.P. Morgan Securities LLC,,1,Net,ar37,2011/07/29,SingleCurrency,USD,cleared,5493004U2OZSNOP2ML97,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5B,12:00:00.000,1.75
Reuters Transaction Services Limited v J.P. Morgan Securities LLC,,0,Net,ar38,2011/07/29,SingleCurrency,USD,cleared,549300SDDJE84DDJNB30,549300HWBQ155KL5RH57,5493005EUM6Q06DFP787,0.05,CustodianAccount5B,12:00:00.000,1.75
Thomson Reuters Transaction Services Pte. Ltd v DBS BANK LTD,,1,Net,ar39,2011/07/29,SingleCurrency,SGD,cleared,5493004U2OZSNOP2ML97,549300ZLWT3FK3F0FW61,549300B026HZPK85C744,0.05,CustodianAccount5D,12:00:00.000,1.75
Thomson Reuters Transaction Services Pte. Ltd v Morgan Stanley MUFG Securities Co. Ltd.,,0,Net,ar40,2011/07/29,SingleCurrency,JPY,cleared,5493004U2OZSNOP2ML97,529900LN3S50JPU47S06,549300N4RSG8JZ4YYQ13,0.05,CustodianAccount5C,12:00:00.000,1.75
Reuters Transaction Services Limited v DBS BANK LTD,,1,Net,ar41,2011/07/29,SingleCurrency,SGD,cleared,549300SDDJE84DDJNB30,549300ZLWT3FK3F0FW61,549300B026HZPK85C744,0.05,CustodianAccount5D,12:00:00.000,1.75
Thomson Reuters (Markets) Group v DBS BANK LTD,,0,Net,ar42,2011/07/29,SingleCurrency,SGD,cleared,549300WQWDPFSMQ8I087,549300ZLWT3FK3F0FW61,549300B026HZPK85C744,0.05,CustodianAccount5D,12:00:00.000,1.75
Thomson Reuters Hong Kong v Goldman Sach Co.,,1,Net,ar43,2011/07/29,SingleCurrency,USD,cleared,549300561UZND4C7B569,549300S8OX8KRY1LC777,549300MHCFARP0SMZV21,0.05,CustodianAccount5A,12:00:00.000,1.75
