accountId,accountName,accountRegion,custodianId,custodianName,country,countryShortName,CounterEntityId
CustodianAccount3AR,CustodianAccount3AR,region100,Custodian3R,Custodian3R,Singapore,SG,W7K13LBE6OLJ663LISWQ|6BP9B5XIIOCTY6H0MFMJ|XQMDGAGQXJ5OHQ8I994V
CustodianAccount3BR,CustodianAccount3BR,region101,Custodian3R,Custodian3R,Singapore,SG,W7K13LBE6OLJ663LISWQ|FLWQQ213I639BH37WD1N|0SOJM5F1XDPSIZO9TX9J
CustodianAccount3CR,CustodianAccount3CR,region102,Custodian3R,Custodian3R,Singapore,SG,FLWQQ213I639BH37WD1N
CustodianAccount4AR,CustodianAccount4AR,region103,Custodian4R,Custodian4R,Singapore,SG,549300SPVJCY3NPIPQ48
CustodianAccount4BR,CustodianAccount4BR,region104,Custodian4R,Custodian4R,Singapore,SG,549300SPVJCY3NPIPQ48|5493008I8OABDX7R9S42|5523008I8OABDX7R9S45
CustodianAccount4CR,CustodianAccount4CR,region101,Custodian4R,Custodian4R,Singapore,SG,5493008I8OABDX7R9S42|5503008I8OABDX7R9S43|5513008I8OABDX7R9S44
CustodianAccount5AR,CustodianAccount5AR,region100,Custodian5R,Custodian5R,Singapore,SG,2TEBDUI1CT9Y2WLC8GR7
CustodianAccount5BR,CustodianAccount5BR,region100,Custodian5R,Custodian5R,Singapore,SG,5493005EUM6Q06DFP787
CustodianAccount5CR,CustodianAccount5CR,region100,Custodian5R,Custodian5R,Singapore,SG,549300N4RSG8JZ4YYQ13
CustodianAccount5DR,CustodianAccount5DR,region100,Custodian5R,Custodian5R,Singapore,SG,549300B026HZPK85C744
