ISIN,Issuer,information
AU3TB0000143,"AUSTRALIA, COMMONWEALTH OF (GOVERNMENT)","{""identity"":""193"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":6.8931506849315065,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""AU-BOND"",""type"":""BOND"",""timeToMaturityDays"":2516,""ISIN"":""AU3TB0000143"",""ratingScore"":""100"",""price"":101.795,""maturityDate"":""2024/04/21"",""yield"":0,""minUnitValue"":1000,""name"":""AUSTRALIAN GOVERNMENT"",""currency"":""AUD"",""id"":""AU3TB0000143"",""minUnit"":1,""issueDate"":""2015/04/01""}}"
XS1202689888,BANK OF ENGLAND,"{""identity"":""174"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":0.7890410958904109,""rating"":""AA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-SUPR2"",""type"":""NOTE"",""timeToMaturityDays"":288,""ISIN"":""XS1202689888"",""ratingScore"":""98"",""price"":100.45,""maturityDate"":""2018/03/16"",""yield"":0,""minUnitValue"":1000,""name"":""BK OF ENGLAND EURO NOTE"",""currency"":""USD"",""id"":""XS1202689888"",""minUnit"":1,""issueDate"":""2015/03/09""}}"
XS1378790262,BANK OF ENGLAND,"{""identity"":""200"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":1.7835616438356163,""rating"":""AA+"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-SUPR2"",""type"":""NOTE"",""timeToMaturityDays"":651,""ISIN"":""XS1378790262"",""ratingScore"":""98"",""price"":100.035,""maturityDate"":""2019/03/14"",""yield"":0,""minUnitValue"":1000,""name"":""BK OF ENGLAND EURO NOTE"",""currency"":""USD"",""id"":""XS1378790262"",""minUnit"":1,""issueDate"":""2016/03/14""}}"
XS1122061242,BANK OF ENGLAND,"{""identity"":""201"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":10000,""idType"":""ISIN"",""rating"":""AA+"",""timeToMaturityYears"":0.38904109589041097,""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""GB-SUPR2"",""type"":""NOTE"",""timeToMaturityDays"":142,""ISIN"":""XS1122061242"",""ratingScore"":""99"",""price"":98.239,""maturityDate"":""2017/10/21"",""yield"":0,""minUnitValue"":10000,""name"":""UNITED KINGDOM"",""currency"":""CNY"",""id"":""XS1122061242"",""minUnit"":1,""issueDate"":""2014/10/21""}}"
CA13506ZCC64,CANADA (GOVERNMENT),"{""identity"":""226"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""ISIN"":""CA13506ZCC64"",""ratingScore"":""100"",""price"":98.62,""maturityDate"":""2017/01/12"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZCC64"",""minUnit"":1,""issueDate"":""1993/02/09""}}"
CA13506ZCD48,CANADA (GOVERNMENT),"{""identity"":""227"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":0.6,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":219,""ISIN"":""CA13506ZCD48"",""ratingScore"":""100"",""price"":98.102,""maturityDate"":""2018/01/06"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZCD48"",""minUnit"":1,""issueDate"":""1993/02/09""}}"
CA13506ZCE21,CANADA (GOVERNMENT),"{""identity"":""228"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":0.6164383561643836,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":225,""ISIN"":""CA13506ZCE21"",""ratingScore"":""100"",""price"":97.753,""maturityDate"":""2018/01/12"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZCE21"",""minUnit"":1,""issueDate"":""1993/02/09""}}"
CA13506ZCF95,CANADA (GOVERNMENT),"{""identity"":""229"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":1.6,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":584,""ISIN"":""CA13506ZCF95"",""ratingScore"":""100"",""price"":96.985,""maturityDate"":""2019/01/06"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZCF95"",""minUnit"":1,""issueDate"":""1993/02/09""}}"
CA13506ZCG78,CANADA (GOVERNMENT),"{""identity"":""230"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":1.6164383561643836,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":590,""ISIN"":""CA13506ZCG78"",""ratingScore"":""100"",""price"":96.5925,""maturityDate"":""2019/01/12"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZCG78"",""minUnit"":1,""issueDate"":""1993/02/09""}}"
CA13506ZCH51,CANADA (GOVERNMENT),"{""identity"":""231"",""labels"":[""Asset"",""Bond""],""properties"":{""parValue"":1000,""idType"":""ISIN"",""timeToMaturityYears"":2.6,""rating"":""AAA"",""ACUOCategory"":""Sovereign Bonds"",""ICADCode"":""CA-BOND"",""type"":""CBOND"",""timeToMaturityDays"":949,""ISIN"":""CA13506ZCH51"",""ratingScore"":""100"",""price"":96.4125,""maturityDate"":""2020/01/06"",""yield"":0,""minUnitValue"":1000,""name"":""CANADA (GOVERNMENT)"",""currency"":""CAD"",""id"":""CA13506ZCH51"",""minUnit"":1,""issueDate"":""1993/02/09""}}"
