agreementId,condition1,condition2,condition3,condition4
ap1, making,making,making,transferee
ap2, making,making,making,transferee
ap3, making,making,making,transferee
ap4, making,making,making,transferee
ap5, making,making,making,transferee
ap6, making,making,making,transferee
ap7, making,making,making,transferee
ap8, making,making,making,transferee
ap9, making,making,making,transferee
ap10, making,making,making,transferee
ap11, making,making,making,transferee
ap12, making,making,making,transferee
ap13, making,making,making,transferee
ap14, making,making,making,transferee
ap15, making,making,making,transferee
ap16, making,making,making,transferee
ap17, making,making,making,transferee
ap18, making,making,making,transferee
ap19, making,making,making,transferee
ap20, making,making,making,transferee
ap21, making,making,making,transferee
ap22, making,making,making,transferee
ap23, making,making,making,transferee
ap24, making,making,making,transferee
ap25, making,making,making,transferee
ap26, making,making,making,transferee
ap27, making,making,making,transferee
ap28, making,making,making,transferee
ap29, making,making,making,transferee
ap30, making,making,making,transferee
ap44, making,making,making,transferee
