accountId,accountName,accountRegion,custodianId,custodianName,country,countryShortName,CounterEntityId
CustodianAccount3A,CustodianAccount3A,region100,Custodian3,Custodian3,Singapore,SG,W7K13LBE6OLJ663LISWQ|6BP9B5XIIOCTY6H0MFMJ|XQMDGAGQXJ5OHQ8I994V
CustodianAccount3B,CustodianAccount3B,region101,Custodian3,Custodian3,Singapore,SG,W7K13LBE6OLJ663LISWQ|FLWQQ213I639BH37WD1N|0SOJM5F1XDPSIZO9TX9J
CustodianAccount3C,CustodianAccount3C,region102,Custodian3,Custodian3,Singapore,SG,FLWQQ213I639BH37WD1N
CustodianAccount4A,CustodianAccount4A,region103,Custodian4,Custodian4,Singapore,SG,549300SPVJCY3NPIPQ48
CustodianAccount4B,CustodianAccount4B,region104,Custodian4,Custodian4,Singapore,SG,549300SPVJCY3NPIPQ48|5493008I8OABDX7R9S42|5523008I8OABDX7R9S45
CustodianAccount4C,CustodianAccount4C,region101,Custodian4,Custodian4,Singapore,SG,5493008I8OABDX7R9S42|5503008I8OABDX7R9S43|5513008I8OABDX7R9S44
CustodianAccount5A,CustodianAccount5A,region100,Custodian5,Custodian5,Singapore,SG,2TEBDUI1CT9Y2WLC8GR7
CustodianAccount5B,CustodianAccount5B,region100,Custodian5,Custodian5,Singapore,SG,5493005EUM6Q06DFP787
CustodianAccount5C,CustodianAccount5C,region100,Custodian5,Custodian5,Singapore,SG,549300N4RSG8JZ4YYQ13
CustodianAccount5D,CustodianAccount5D,region100,Custodian5,Custodian5,Singapore,SG,549300B026HZPK85C744
