agreementId,condition1,condition2,condition3,condition4
ar1, making,making,making,transferee
ar2, making,making,making,transferee
ar3, making,making,making,transferee
ar4, making,making,making,transferee
ar5, making,making,making,transferee
ar6, making,making,making,transferee
ar7, making,making,making,transferee
ar8, making,making,making,transferee
ar9, making,making,making,transferee
ar10, making,making,making,transferee
ar11, making,making,making,transferee
ar12, making,making,making,transferee
ar13, making,making,making,transferee
ar14, making,making,making,transferee
ar15, making,making,making,transferee
ar16, making,making,making,transferee
ar17, making,making,making,transferee
ar18, making,making,making,transferee
ar19, making,making,making,transferee
ar20, making,making,making,transferee
ar21, making,making,making,transferee
ar22, making,making,making,transferee
ar23, making,making,making,transferee
ar24, making,making,making,transferee
ar25, making,making,making,transferee
ar26, making,making,making,transferee
ar27, making,making,making,transferee
ar28, making,making,making,transferee
ar29, making,making,making,transferee
ar30, making,making,making,transferee
ar44, making,making,making,transferee
