AgreementName,AgreementId,AgreementDate,Party1,Party2,TerminationCurrency
ACUO SG Pte Ltd v Counterparty A1,ma1,2015/07/29,720400TGFLH2QZV80T,222105IP581HO777LM30,USD
ACUO US LLC v Counterparty A2,ma2,2015/07/29,104399UHGKI1RAW91U,5493OOS20A8EOTNL3L19,SGD
ACUO UK PLC v Counterparty A3,ma3,2015/07/29,928581SHELI3PYW91M,5493OOS20A8EOTNL3L20,NOK
ACUO SG Pte Ltd v Counterparty A4,ma4,2015/07/29,720400TGFLH2QZV80T,5493OOS20A8EOTNL3L21,SEK
ACUO US LLC v Counterparty A5,ma5,2015/07/09,104399UHGKI1RAW91U,5493OOS20A8EOTNL3L22,EUR
ACUO UK PLC v Counterparty B1,ma6,2015/07/29,928581SHELI3PYW91M,549300SPVJCY3NPIPQ48,GBP
ACUO SG Pte Ltd v Counterparty B2,ma7,2015/07/29,720400TGFLH2QZV80T,5493008I8OABDX7R9S42,KRW
ACUO US LLC v Counterparty B3,ma8,2015/07/09,104399UHGKI1RAW91U,5503008I8OABDX7R9S43,JPY
ACUO UK PLC v Counterparty B4,ma9,2014/05/05,928581SHELI3PYW91M,5513008I8OABDX7R9S44,AUD
ACUO SG Pte Ltd v Counterparty B5,ma10,2014/05/06,720400TGFLH2QZV80T,5523008I8OABDX7R9S45,CAD
ACUO US LLC v Counterparty A1,ma11,2013/03/28,104399UHGKI1RAW91U,222105IP581HO777LM30,NZD
ACUO UK PLC v Counterparty A2,ma12,2013/03/29,928581SHELI3PYW91M,5493OOS20A8EOTNL3L19,USD
ACUO SG Pte Ltd v Counterparty A3,ma13,2015/07/29,720400TGFLH2QZV80T,5493OOS20A8EOTNL3L20,SGD
ACUO US LLC v Counterparty A4,ma14,2015/07/29,104399UHGKI1RAW91U,5493OOS20A8EOTNL3L21,NOK
ACUO UK PLC v Counterparty A5,ma15,2015/07/29,928581SHELI3PYW91M,5493OOS20A8EOTNL3L22,SEK
ACUO SG Pte Ltd v Counterparty B1,ma16,2015/07/29,720400TGFLH2QZV80T,549300SPVJCY3NPIPQ48,EUR
ACUO US LLC v Counterparty B2,ma17,2015/07/09,104399UHGKI1RAW91U,5493008I8OABDX7R9S42,GBP
ACUO UK PLC v Counterparty B3,ma18,2015/07/29,928581SHELI3PYW91M,5503008I8OABDX7R9S43,KRW
ACUO SG Pte Ltd v Counterparty B4,ma19,2015/07/29,720400TGFLH2QZV80T,5513008I8OABDX7R9S44,JPY
ACUO US LLC v Counterparty B5,ma20,2015/07/09,104399UHGKI1RAW91U,5523008I8OABDX7R9S45,AUD
ACUO UK PLC v Counterparty A1,ma21,2014/05/05,928581SHELI3PYW91M,222105IP581HO777LM30,CAD
ACUO SG Pte Ltd v Counterparty A2,ma22,2014/05/06,720400TGFLH2QZV80T,5493OOS20A8EOTNL3L19,NZD
ACUO US LLC v Counterparty A3,ma23,2013/03/28,104399UHGKI1RAW91U,5493OOS20A8EOTNL3L20,USD
ACUO UK PLC v Counterparty A4,ma24,2013/03/29,928581SHELI3PYW91M,5493OOS20A8EOTNL3L21,SGD
ACUO SG Pte Ltd v Counterparty A5,ma25,2015/07/29,720400TGFLH2QZV80T,5493OOS20A8EOTNL3L22,NOK
ACUO US LLC v Counterparty B1,ma26,2015/07/29,104399UHGKI1RAW91U,549300SPVJCY3NPIPQ48,SEK
ACUO UK PLC v Counterparty B2,ma27,2015/07/29,928581SHELI3PYW91M,5493008I8OABDX7R9S42,EUR
ACUO SG Pte Ltd v Counterparty B3,ma28,2015/07/29,720400TGFLH2QZV80T,5503008I8OABDX7R9S43,GBP
ACUO US LLC v Counterparty B4,ma29,2015/07/09,104399UHGKI1RAW91U,5513008I8OABDX7R9S44,KRW
ACUO UK PLC v Counterparty B5,ma30,2015/07/29,928581SHELI3PYW91M,5523008I8OABDX7R9S45,JPY
ACUO AUS v Counterparty A1,ma44,2015/07/29,928581KELLA3PYW91M,222105IP581HO777LM30,USD
