CallId,ValuationDate,CallDate,CallType,Status,Currency,TotalCallAmount,ReturnAmount,DeliverAmount,CollateralValue,PendingCollateral,Exposure,IMRole,Direction,AgreementId,StatementId
mc1,24/10/16,25/10/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a1,ms1
mc2,24/10/16,25/10/16,Variation,Unrecon,SGD,1500000,0,1500000,8500000,0,-10000000,Pledgor,IN,a2,ms2
mc3,24/10/16,25/10/16,Variation,Unrecon,EUR,2000000,0,2000000,7990000,10000,-10000000,Pledgor,IN,a3,ms3
mc4,24/10/16,25/10/16,Variation,Unrecon,GBP,250,0,250,9999750,0,-10000000,Pledgor,IN,a4,ms4
mc5,24/10/16,25/10/16,Variation,Unrecon,CHF,3000000,0,3000000,7000000,0,-10000000,Pledgor,IN,a5,ms5
mc8,24/10/16,25/10/16,Variation,Unrecon,AUD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a11,ms6
mc9,09/11/16,10/11/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a12,ms7
mc10,09/11/16,10/11/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a13,ms8
mc11,09/11/16,10/11/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a14,ms9
mc12,24/10/16,25/10/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a1,ms1
mc13,24/10/16,25/10/16,Initial,Unrecon,SGD,700000,0,700000,50000000,0,-10000000,Pledgor,IN,a2,ms2
mc14,24/10/16,25/10/16,Initial,Unrecon,EUR,1000000,0,1000000,50000000,0,-10000000,Pledgor,IN,a3,ms3
mc15,24/10/16,25/10/16,Initial,Unrecon,GBP,950000,0,950000,50000000,0,-10000000,Pledgor,IN,a4,ms4
mc16,24/10/16,25/10/16,Initial,Unrecon,CHF,1000000,0,1000000,50000000,0,-10000000,Pledgor,IN,a5,ms5
mc17,24/10/16,25/10/16,Initial,Unrecon,AUD,1150000,0,1150000,50000000,0,-10000000,Pledgor,IN,a11,ms6
mc18,09/11/16,10/11/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a12,ms7
mc19,09/11/16,10/11/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a13,ms8
mc20,09/11/16,10/11/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a14,ms9
mc21,24/11/16,25/11/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a1,ms19
mc22,25/11/16,26/11/16,Variation,Unrecon,SGD,1500000,0,1500000,8500000,0,-10000000,Pledgor,IN,a2,ms20
mc23,26/11/16,27/11/16,Variation,Unrecon,EUR,2000000,0,2000000,7990000,10000,-10000000,Pledgor,IN,a3,ms21
mc24,27/11/16,28/11/16,Variation,Unrecon,GBP,250,0,250,9999750,0,-10000000,Pledgor,IN,a4,ms22
mc25,28/11/16,29/11/16,Variation,Unrecon,CHF,3000000,0,3000000,7000000,0,-10000000,Pledgor,IN,a5,ms23
mc26,29/11/16,30/11/16,Variation,Unrecon,AUD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a11,ms24
mc27,30/11/16,01/12/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a12,ms25
mc28,01/12/16,02/12/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a13,ms26
mc29,02/12/16,03/12/16,Variation,Unrecon,USD,1000000,0,1000000,9000000,0,-10000000,Pledgor,IN,a14,ms27
mc30,03/12/16,04/12/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a1,ms28
mc31,04/12/16,05/12/16,Initial,Unrecon,SGD,700000,0,700000,50000000,0,-10000000,Pledgor,IN,a2,ms29
mc32,05/12/16,06/12/16,Initial,Unrecon,EUR,1000000,0,1000000,50000000,0,-10000000,Pledgor,IN,a3,ms30
mc33,06/12/16,07/12/16,Initial,Unrecon,GBP,950000,0,950000,50000000,0,-10000000,Pledgor,IN,a4,ms31
mc34,07/12/16,08/12/16,Initial,Unrecon,CHF,1000000,0,1000000,50000000,0,-10000000,Pledgor,IN,a5,ms32
mc35,08/12/16,09/12/16,Initial,Unrecon,AUD,1150000,0,1150000,50000000,0,-10000000,Pledgor,IN,a11,ms33
mc36,09/12/16,10/12/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a12,ms34
mc37,10/12/16,11/12/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a13,ms35
mc38,11/12/16,12/12/16,Initial,Unrecon,USD,500000,0,500000,50000000,0,-10000000,Pledgor,IN,a14,ms36
