CallId,ValuationDate,CallDate,MarginType,Status,Currency,TotalCallAmount,ReturnAmount,DeliverAmount,CollateralValue,PendingCollateral,Exposure,IMRole,Direction,AgreementId,StatementId
mcep1,2017/01/12,2017/01/13,Variation,Expected,USD,18256,0,18256,30427053,0,30445309,Pledgor,OUT,a1,ms1
mcep2,2017/01/12,2017/01/13,Variation,Expected,USD,43416,0,43416,28944542,0,28987958,Pledgor,OUT,a2,ms2
mcep3,2017/01/12,2017/01/13,Variation,Expected,USD,7505,0,7505,-6254114,0,-6261619,Pledgor,IN,a3,ms3
mcep4,2017/01/12,2017/01/13,Variation,Expected,USD,92426,0,92426,44012755,0,44105181,Pledgor,OUT,a4,ms4
mcep5,2017/01/12,2017/01/13,Variation,Expected,USD,21438,0,21438,35730727,0,35752165,Pledgor,OUT,a5,ms5
mcep6,2017/01/12,2017/01/13,Variation,Expected,USD,12008,12008,0,30017697,0,30005689,Pledgor,IN,a6,ms6
mcep7,2017/01/12,2017/01/13,Variation,Expected,USD,30427,0,30427,30427053,0,30457480,Pledgor,OUT,a7,ms7
mcep8,2017/01/12,2017/01/13,Variation,Expected,USD,23155,0,23155,28944542,0,28967697,Pledgor,OUT,a8,ms8
mcep9,2017/01/12,2017/01/13,Variation,Expected,USD,2501,0,2501,-6254114,0,-6251613,Pledgor,OUT,a9,ms9
mcep10,2017/01/12,2017/01/13,Variation,Expected,USD,4471,0,4471,44012755,0,44017226,Pledgor,OUT,a10,ms10
mcep11,2017/01/12,2017/01/13,Variation,Expected,USD,25012,25012,0,35730727,0,35705715,Pledgor,IN,a11,ms11
mcep12,2017/01/12,2017/01/13,Variation,Expected,USD,42025,42025,0,30017697,0,29975672,Pledgor,IN,a12,ms12
mcep13,2017/01/12,2017/01/13,Variation,Expected,USD,3043,3043,0,30427053,0,30424010,Pledgor,IN,a13,ms13
mcep14,2017/01/12,2017/01/13,Variation,Expected,USD,37627,0,37627,28944542,0,28982169,Pledgor,OUT,a14,ms14
mcep15,2017/01/12,2017/01/13,Variation,Expected,USD,6879,0,6879,-6254114,0,-6247235,Pledgor,OUT,a15,ms15
mcep16,2017/01/12,2017/01/13,Variation,Expected,USD,4401,0,4401,44012755,0,44017156,Pledgor,OUT,a16,ms16
mcep17,2017/01/12,2017/01/13,Variation,Expected,USD,50024,50024,0,35730727,0,35680703,Pledgor,IN,a17,ms17
mcep18,2017/01/12,2017/01/13,Variation,Expected,USD,30018,30018,0,30017697,0,29987679,Pledgor,IN,a18,ms18
mcep19,2017/01/12,2017/01/13,Variation,Expected,USD,60854,0,60854,30427053,0,30487907,Pledgor,OUT,a19,ms19
mcep20,2017/01/12,2017/01/13,Variation,Expected,USD,60783,0,60783,28944542,0,29005325,Pledgor,OUT,a20,ms20
mcep21,2017/01/12,2017/01/13,Variation,Expected,USD,2676,2676,0,-6254114,0,-6251438,Pledgor,OUT,a21,ms21
mcep22,2017/01/12,2017/01/13,Variation,Expected,USD,35210,0,35210,44012755,0,44047965,Pledgor,OUT,a22,ms22
mcep23,2017/01/12,2017/01/13,Variation,Expected,USD,32157,0,32157,35730727,0,35762884,Pledgor,OUT,a23,ms23
mcep24,2017/01/12,2017/01/13,Variation,Expected,USD,3002,3002,0,30017697,0,30014695,Pledgor,IN,a24,ms24
mcep25,2017/01/12,2017/01/13,Variation,Expected,USD,66939,0,66939,30427053,0,30493992,Pledgor,OUT,a25,ms25
mcep26,2017/01/12,2017/01/13,Variation,Expected,USD,49205,0,49205,28944542,0,28993747,Pledgor,OUT,a26,ms26
mcep27,2017/01/12,2017/01/13,Variation,Expected,USD,6880,0,6880,-6254114,0,-6260994,Pledgor,IN,a27,ms27
