agreementId,condition1,condition2,condition3,condition4
a1, making,making,making,transferee
a2, making,making,making,transferee
a3, making,making,making,transferee
a4, making,making,making,transferee
a5, making,making,making,transferee
a6, making,making,making,transferee
a7, making,making,making,transferee
a8, making,making,making,transferee
a9, making,making,making,transferee
a10, making,making,making,transferee
a11, making,making,making,transferee
a12, making,making,making,transferee
a13, making,making,making,transferee
a14, making,making,making,transferee
a15, making,making,making,transferee
a16, making,making,making,transferee
a17, making,making,making,transferee
a18, making,making,making,transferee
a19, making,making,making,transferee
a20, making,making,making,transferee
a21, making,making,making,transferee
a22, making,making,making,transferee
a23, making,making,making,transferee
a24, making,making,making,transferee
a25, making,making,making,transferee
a26, making,making,making,transferee
a27, making,making,making,transferee
a28, making,making,making,transferee
a29, making,making,making,transferee
a30, making,making,making,transferee
a44, making,making,making,transferee
